Title,Price,Bedrooms,Bathrooms,Area,Location,Property_Type
"2 Bedroom Apartment For Rent Muscat Hills, Muscat",550,2.0,2.0,80 Sq. M.,"Muscat Hills, Muscat",Apartment
"4 Bedroom Villa For Rent Bosher, Muscat",500,4.0,5.0,300 Sq. M.,"Bosher, Muscat",Villa
4 Bedrooms Villa For Rent Bosher - Muscat,700,4.0,5.0,310 Sq. M.,"Bosher, Muscat",Villa
"2 Bedrooms Apartment For Rent Muscat Hills, Muscat",550,2.0,3.0,120 Sq. M.,"Muscat Hills, Muscat",Apartment
"3 Bedrooms Apartment For Rent Azaiba, Muscat",400,3.0,1.0,80 Sq. M.,"Azaiba, Muscat",Apartment
4 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,1300,4.0,6.0,10 Sq. M.,"Qurum, Muscat",Villa
"4 Bedrooms Villa For Rent in Madinat As Sultan Qaboos, Muscat",850,4.0,5.0,300 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
"2 Bedroom Apartment For Rent in Ruwi, Muscat",200,2.0,2.0,89 Sq. M.,"Ruwi, Muscat",Apartment
"1 Bedroom Apartment For Rent in Ruwi, Muscat",150,1.0,2.0,68 Sq. M.,"Ruwi, Muscat",Apartment
"2 Bedroom Chalet For Rent in Barka, Al Batinah",50,2.0,6.0,"3,000 Sq. M.","Barka, Al Batinah",Other
"1 Bedroom Apartment For Rent in Muscat Hills, Muscat",499,1.0,2.0,88 Sq. M.,"Muscat Hills, Muscat",Apartment
"6 Bedroom Villa For Rent Qurum, Muscat",650,6.0,7.0,300 Sq. M.,"Qurum, Muscat",Villa
2 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),850,2.0,2.0,10 Sq. M.,"Qurum, Muscat",Apartment
"3 Bedrooms Villa For Rent Bosher, Muscat",850,3.0,5.0,300 Sq. M.,"Bosher, Muscat",Villa
1 Bedroom Apartment For Rent Al Mawaleh Muscat,150,1.0,1.0,30 Sq. M.,"Al Mawaleh, Muscat",Apartment
"4 Bedroom Villa For Rent in Bosher, Muscat",850,4.0,5.0,245 Sq. M.,"Bosher, Muscat",Villa
