title,Price,bedrooms,bathrooms,Size,Location,Property_type
شقة للبيع بمواصفات مميزة وبجودة ممتازة فرصة رائعة للاستثمار او السكن,46000.0,2,3,102.0,"Ghala, Muscat",Other
1 BHK Apartment for Sale in Muscat - Yiti – شقة للبيع في مسقط FreeHold,87000.0,1,2,79.0,"Yiti, Muscat",Apartment
Furnished 3-Bedroom Lakefront Villa for Sale in Hawana Salalah,244000.0,3,3,573.0,"Salalah, Dhofar",Villa
Exclusive Furnished 3-Bedroom Villa for Sale in Hawana Salalah,249000.0,3,3,610.0,"Salalah, Dhofar",Villa
ارخص فیلا قید الانشاء | تقسیط | موج مسقط | 5 غرف نوم | طابقین,573300.0,5,6,549.0,"The Wave (Almouj), Muscat",Other
MADINAT AL ILAM | EXCELLENT 4+1 BR TOWNHOUSE,650.0,4,6,300.0,"Madinat As Sultan Qaboos, Muscat",Villa
AL KHUWAIR | WELL MAINTAINED 2 BHK FLAT,280.0,2,2,105.0,"Al Khuwair, Muscat",Apartment
"Luxury Sea View Apartment for Sale – Juman 2, Al Mouj, Muscat",215000.0,2,3,145.0,"The Wave (Almouj), Muscat",Apartment
Elegant 4 BHK Villa for rent @ Qurum,650.0,4,5,300.0,"Qurum, Muscat",Villa
ANSAB | 8 BEDROOM VILLA,400.0,8,9,300.0,"Ansab, Muscat",Villa
ADV905*4BHK Villa for rent in Madinat Illam in a complex,750.0,4,4,300.0,"Qurum, Muscat",Villa
ADV906**4BHK Villa in a comples in shatti qurum,1900.0,4,4,300.0,"Qurum, Muscat",Villa
ADC507*** Office Space in Azaiba – 440 sqm for Rent*,2310.0,2,3,440.0,"Azaiba, Muscat",Commercial
*ADV705** 3+1 BHK Villa for Rent in Bousher –Al Muna,650.0,3,4,350.0,"Bosher, Muscat",Villa
3 + 1 Fully Furnished Villa for Sale in Al Khoud with Garden & Pool,150000.0,3,4,768.0,"Al Khoud, Muscat",Villa
4 BR + Maid’s Room Spacious Well-Designed Villa in Azaiba,750.0,4,5,439.0,"Azaiba, Muscat",Villa
2 BR Beautiful Apartment with Panoramic Views – Muscat Hills,430.0,2,2,119.0,"Muscat Hills, Muscat",Apartment
"2 BR Fully Furnished Apartment in Juman Two, Al Mouj - with Amenities",1250.0,2,3,109.0,"The Wave (Almouj), Muscat",Apartment
2 BR + 1 Bedroom Brand New Apartment in Shatti Al Qurum,525.0,2,3,119.0,"Qurum, Muscat",Apartment
1 BR + 1 Bedroom Brand New Apartment in Shatti Al Qurum,400.0,1,2,89.0,"Qurum, Muscat",Apartment
54 SQM Office for Rent in Muscat Hills,297.0,2,3,54.0,"Muscat Hills, Muscat",Commercial
31.87 S QM Shop in Azaiba – Commercial Use – Excellent Location,480.0,2,3,31.0,"Azaiba, Muscat",Commercial
BOSHER | BRAND NEW 3+1 BR TOWNHOUSES,850.0,3,4,300.0,"Bosher, Muscat",Villa
QURUM | SPACIOUS 6 BR COMPOUND VILLA,1000.0,6,5,300.0,"Qurum, Muscat",Villa
QURUM | 6 BR COMPOUND VILLA,650.0,6,6,300.0,"Qurum, Muscat",Villa
محل للايجار ف الخوض السادسه قريب من جميع الخدمات موقع تجاري مميز,160.0,2,3,16.0,"Al Khoud, Muscat",Other
فيلا جديده راقيه للبيع في المعبيلة الثالثة,120000.0,6,6,408.0,"Al Maabilah, Muscat",Other
فيلا راقية جديدة للايجار في المعبيلة villa for rent,500.0,6,7,408.0,"Al Maabilah, Muscat",Villa
shop for rent in seeb souq,100.0,2,3,25.0,"Al Seeb, Muscat",Commercial
2bhk in darsait free wifi (B1577),160.0,2,2,95.0,"Darsait, Muscat",Other
2bhk flat in almumtaz free wifi (B3434),220.0,2,2,100.0,"Ruwi, Muscat",Apartment
SR-HK-595 Fully furnished Townhouse for rent in Almouj .,800.0,2,3,200.0,"The Wave (Almouj), Muscat",Villa
أرض للبيع خمس اراضي زراعية مساحة كل منهن 16800 متر مربع في ولاية بركاء,350000.0,2,3,,"Barka, Al Batinah",Other
أرض للبيع او الاستثمار بناية سكنيه تجارية,250000.0,2,3,547.0,"Al Buraimi, Al Buraimi",Other
ارض للبيع سكني تجاري في غلاء - Land for sale in Ghala,500.0,2,3,,"Ghala, Muscat",Land
فيلا راقيه للبيع في الخوض السادسه,285000.0,9,10,614.0,"Al Khoud, Muscat",Other
