title,url,price_omr,bedrooms,bathrooms,size_sqm,locality,listing_date,agency
شقة للبيع بمواصفات مميزة وبجودة ممتازة فرصة رائعة للاستثمار او السكن,https://www.dubizzle.com.om/en/ad/%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A8%D9%85%D9%88%D8%A7%D8%B5%D9%81%D8%A7%D8%AA-%D9%85%D9%85%D9%8A%D8%B2%D8%A9-%D9%88%D8%A8%D8%AC%D9%88%D8%AF%D8%A9-%D9%85%D9%85%D8%AA%D8%A7%D8%B2%D8%A9-%D9%81%D8%B1%D8%B5%D8%A9-%D8%B1%D8%A7%D8%A6%D8%B9%D8%A9-%D9%84%D9%84%D8%A7%D8%B3%D8%AA%D8%AB%D9%85%D8%A7%D8%B1-%D8%A7%D9%88-%D8%A7%D9%84%D8%B3%D9%83%D9%86-ID130488968.html,46000.0,2.0,3.0,102.0,"Ghala, Muscat",5 hours ago,* يقع المشروع في مرتفعات غلا بجانب شركة الغاز المسال و بالقرب من هيئة الوثائق و المحفوظات الوطنية و مدينة العرفان و على بعد دقائق من مطار مسقط الدولي . كما أنه يبعد عن : * مركز عمان للمؤتمرات والمعارض : 4 دق * شارع
1 BHK Apartment for Sale in Muscat - Yiti – شقة للبيع في مسقط FreeHold,https://www.dubizzle.com.om/en/ad/1-bhk-apartment-for-sale-in-muscat-yiti-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D9%85%D8%B3%D9%82%D8%B7-freehold-ID130488715.html,87000.0,1.0,2.0,79.0,"Yiti, Muscat",6 hours ago,شقق ذكية ومستدامة للبيع في المدينة المستدامة – يتي Smart & Sustainable Apartments for Sale in The Sustainable City – Yiti امتلك بيتك في أول مدينة صفرية الانبعاثات في سلطنة عُمان، حيث تلتقي التكنولوجيا بالاستدامة في
Furnished 3-Bedroom Lakefront Villa for Sale in Hawana Salalah,https://www.dubizzle.com.om/en/ad/furnished-3-bedroom-lakefront-villa-for-sale-in-hawana-salalah-ID130367511.html,244000.0,3.0,3.0,573.0,"Salalah, Dhofar",7 hours ago,Private Pool | Garden | Stunning Lake View | Ground Floor Location: Hawana Salalah Unit No: FV-03 | Floor: Ground Features: 3 Bedrooms 3 Bathrooms (with shower) 2 Toilets Spacious Living Room Private Swimming Pool L
Exclusive Furnished 3-Bedroom Villa for Sale in Hawana Salalah,https://www.dubizzle.com.om/en/ad/exclusive-furnished-3-bedroom-villa-for-sale-in-hawana-salalah-ID130367595.html,249000.0,3.0,3.0,610.0,"Salalah, Dhofar",7 hours ago,
ارخص فیلا قید الانشاء | تقسیط | موج مسقط | 5 غرف نوم | طابقین,https://www.dubizzle.com.om/en/ad/%D8%A7%D8%B1%D8%AE%D8%B5-%D9%81%DB%8C%D9%84%D8%A7-%D9%82%DB%8C%D8%AF-%D8%A7%D9%84%D8%A7%D9%86%D8%B4%D8%A7%D8%A1-%D8%AA%D9%82%D8%B3%DB%8C%D8%B7-%D9%85%D9%88%D8%AC-%D9%85%D8%B3%D9%82%D8%B7-5-%D8%BA%D8%B1%D9%81-%D9%86%D9%88%D9%85-%D8%B7%D8%A7%D8%A8%D9%82%DB%8C%D9%86-ID130058008.html,573300.0,5.0,6.0,549.0,"The Wave (Almouj), Muscat",7 hours ago,
MADINAT AL ILAM | EXCELLENT 4+1 BR TOWNHOUSE,https://www.dubizzle.com.om/en/ad/madinat-al-ilam-excellent-41-br-townhouse-ID130252139.html,650.0,4.0,6.0,300.0,"Madinat As Sultan Qaboos, Muscat",7 hours ago,
AL KHUWAIR | WELL MAINTAINED 2 BHK FLAT,https://www.dubizzle.com.om/en/ad/al-khuwair-well-maintained-2-bhk-flat-ID130325585.html,280.0,2.0,2.0,105.0,"Al Khuwair, Muscat",7 hours ago,
"Luxury Sea View Apartment for Sale – Juman 2, Al Mouj, Muscat",https://www.dubizzle.com.om/en/ad/luxury-sea-view-apartment-for-sale-juman-2-al-mouj-muscat-ID130488500.html,215000.0,2.0,3.0,145.0,"The Wave (Almouj), Muscat",8 hours ago,
Elegant 4 BHK Villa for rent @ Qurum,https://www.dubizzle.com.om/en/ad/elegant-4-bhk-villa-for-rent-qurum-ID128917640.html,650.0,4.0,5.0,300.0,"Qurum, Muscat",8 hours ago,
Exclusive Furnished 3-Bedroom Villa for Sale in Hawana Salalah,https://www.dubizzle.com.om/en/ad/exclusive-furnished-3-bedroom-villa-for-sale-in-hawana-salalah-ID130367595.html,249000.0,3.0,3.0,610.0,"Salalah, Dhofar",7 hours ago,
ارخص فیلا قید الانشاء | تقسیط | موج مسقط | 5 غرف نوم | طابقین,https://www.dubizzle.com.om/en/ad/%D8%A7%D8%B1%D8%AE%D8%B5-%D9%81%DB%8C%D9%84%D8%A7-%D9%82%DB%8C%D8%AF-%D8%A7%D9%84%D8%A7%D9%86%D8%B4%D8%A7%D8%A1-%D8%AA%D9%82%D8%B3%DB%8C%D8%B7-%D9%85%D9%88%D8%AC-%D9%85%D8%B3%D9%82%D8%B7-5-%D8%BA%D8%B1%D9%81-%D9%86%D9%88%D9%85-%D8%B7%D8%A7%D8%A8%D9%82%DB%8C%D9%86-ID130058008.html,573300.0,5.0,6.0,549.0,"The Wave (Almouj), Muscat",7 hours ago,
MADINAT AL ILAM | EXCELLENT 4+1 BR TOWNHOUSE,https://www.dubizzle.com.om/en/ad/madinat-al-ilam-excellent-41-br-townhouse-ID130252139.html,650.0,4.0,6.0,300.0,"Madinat As Sultan Qaboos, Muscat",7 hours ago,
AL KHUWAIR | WELL MAINTAINED 2 BHK FLAT,https://www.dubizzle.com.om/en/ad/al-khuwair-well-maintained-2-bhk-flat-ID130325585.html,280.0,2.0,2.0,105.0,"Al Khuwair, Muscat",7 hours ago,
"Luxury Sea View Apartment for Sale – Juman 2, Al Mouj, Muscat",https://www.dubizzle.com.om/en/ad/luxury-sea-view-apartment-for-sale-juman-2-al-mouj-muscat-ID130488500.html,215000.0,2.0,3.0,145.0,"The Wave (Almouj), Muscat",8 hours ago,
Elegant 4 BHK Villa for rent @ Qurum,https://www.dubizzle.com.om/en/ad/elegant-4-bhk-villa-for-rent-qurum-ID128917640.html,650.0,4.0,5.0,300.0,"Qurum, Muscat",8 hours ago,
ANSAB | 8 BEDROOM VILLA,https://www.dubizzle.com.om/en/ad/ansab-8-bedroom-villa-ID130488480.html,400.0,8.0,9.0,300.0,"Ansab, Muscat",8 hours ago,
ADV905*4BHK Villa for rent in Madinat Illam in a complex,https://www.dubizzle.com.om/en/ad/adv9054bhk-villa-for-rent-in-madinat-illam-in-a-complex-ID130363172.html,750.0,4.0,4.0,300.0,"Qurum, Muscat",13 hours ago,
ADV906**4BHK Villa in a comples in shatti qurum,https://www.dubizzle.com.om/en/ad/adv9064bhk-villa-in-a-comples-in-shatti-qurum-ID130363228.html,1900.0,4.0,4.0,300.0,"Qurum, Muscat",13 hours ago,
ADC507*** Office Space in Azaiba – 440 sqm for Rent*,https://www.dubizzle.com.om/en/ad/adc507-office-space-in-azaiba-440-sqm-for-rent-ID129639367.html,2310.0,,,440.0,"Azaiba, Muscat",13 hours ago,
