Title,Price,Bedrooms,Bathrooms,Area,Location,Property_Type,URL,Page
"2 Bedroom Apartment For Rent Muscat Hills, Muscat",OMR550,2,2,80 Sq. M.,"Muscat Hills, Muscat",Apartment,https://www.bayut.om/en/property/details-128631687.html,1
"4 Bedroom Villa For Rent Bosher, Muscat",OMR500,4,5,300 Sq. M.,"Bosher, Muscat",Villa,https://www.bayut.om/en/property/details-130263410.html,1
4 Bedrooms Villa For Rent Bosher - Muscat,OMR700,4,5,310 Sq. M.,"Bosher, Muscat",Villa,https://www.bayut.om/en/property/details-130015470.html,1
"2 Bedrooms Apartment For Rent Muscat Hills, Muscat",OMR550,2,3,120 Sq. M.,"Muscat Hills, Muscat",Apartment,https://www.bayut.om/en/property/details-130262007.html,1
"3 Bedrooms Apartment For Rent Azaiba, Muscat",OMR400,3,1,80 Sq. M.,"Azaiba, Muscat",Apartment,https://www.bayut.om/en/property/details-130014923.html,1
4 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,"OMR1,300",4,6,10 Sq. M.,N/A,Villa,https://www.bayut.om/en/property/details-129996625.html,1
"4 Bedrooms Villa For Rent in Madinat As Sultan Qaboos, Muscat",OMR850,4,5,300 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa,https://www.bayut.om/en/property/details-130031181.html,1
"2 Bedroom Apartment For Rent in Ruwi, Muscat",OMR200,2,2,89 Sq. M.,"Ruwi, Muscat",Apartment,https://www.bayut.om/en/property/details-130198304.html,1
"1 Bedroom Apartment For Rent in Ruwi, Muscat",OMR150,1,2,68 Sq. M.,"Ruwi, Muscat",Apartment,https://www.bayut.om/en/property/details-129950997.html,1
"2 Bedroom Chalet For Rent in Barka, Al Batinah",OMR50,2,6,"3,000 Sq. M.","Barka, Al Batinah",Other,https://www.bayut.om/en/property/details-129416377.html,1
"1 Bedroom Apartment For Rent in Muscat Hills, Muscat",OMR499,1,2,88 Sq. M.,"Muscat Hills, Muscat",Apartment,https://www.bayut.om/en/property/details-130012461.html,1
"6 Bedroom Villa For Rent Qurum, Muscat",OMR650,6,7,300 Sq. M.,"Qurum, Muscat",Villa,https://www.bayut.om/en/property/details-129875446.html,1
2 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),OMR850,2,2,10 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-129759791.html,1
"3 Bedrooms Villa For Rent Bosher, Muscat",OMR850,3,5,300 Sq. M.,"Bosher, Muscat",Villa,https://www.bayut.om/en/property/details-129636952.html,1
1 Bedroom Apartment For Rent Al Mawaleh Muscat,OMR150,1,1,30 Sq. M.,"Al Mawaleh, Muscat",Apartment,https://www.bayut.om/en/property/details-130105118.html,1
"4 Bedroom Villa For Rent in Bosher, Muscat",OMR850,4,5,245 Sq. M.,"Bosher, Muscat",Villa,https://www.bayut.om/en/property/details-129941716.html,1
"2 Bedrooms Apartment For Rent Al Ghubrah, Muscat",OMR500,2,2,120 Sq. M.,"Al Ghubrah, Muscat",Apartment,https://www.bayut.om/en/property/details-129061175.html,1
"2 Bedrooms Apartment For Rent Bosher, Muscat",OMR250,2,2,100 Sq. M.,"Bosher, Muscat",Apartment,https://www.bayut.om/en/property/details-129148541.html,1
"2 Bedroom Apartment For Rent Bosher, Muscat",OMR495,2,2,109 Sq. M.,"Bosher, Muscat",Apartment,https://www.bayut.om/en/property/details-129792845.html,1
"1 Bedroom Apartment For Rent Ruwi, Muscat",OMR150,1,1,70 Sq. M.,"Ruwi, Muscat",Apartment,https://www.bayut.om/en/property/details-130120536.html,1
"1 Bedroom Apartment For Rent Al Hail, Muscat",OMR300,1,2,100 Sq. M.,"Al Hail, Muscat",Apartment,https://www.bayut.om/en/property/details-130279761.html,1
"3 Bedrooms Villa For Rent Qurum, Muscat",OMR750,3,4,300 Sq. M.,"Qurum, Muscat",Villa,https://www.bayut.om/en/property/details-129945405.html,1
"4 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat",OMR950,4,5,300 Sq. M.,N/A,Villa,https://www.bayut.om/en/property/details-130188313.html,1
"2 Bedrooms Apartment For Rent in Al Hamriyah, Muscat",OMR250,2,3,100 Sq. M.,"Al Hamriyah, Muscat",Apartment,https://www.bayut.om/en/property/details-129943854.html,1
"2 Bedrooms Apartment For Rent Al Wadi Al Kabir, Muscat",OMR230,2,2,100 Sq. M.,"Al Wadi Al Kabir, Muscat",Apartment,https://www.bayut.om/en/property/details-107345769.html,2
"2 Bedrooms Apartment For Rent Al Mawaleh, Muscat",OMR250,2,3,100 Sq. M.,"Al Mawaleh, Muscat",Apartment,https://www.bayut.om/en/property/details-125399989.html,2
"1 Bedroom Apartment For Rent in Bosher, Muscat",OMR450,1,3,120 Sq. M.,"Al Ghubrah, Muscat",Apartment,https://www.bayut.om/en/property/details-128608235.html,2
"1 Bedroom Apartment For Rent Madinat As Sultan Qaboos, Muscat",OMR360,1,1,100 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130250511.html,2
"2 Bedrooms Apartment For Rent Al Khuwair, Muscat",OMR270,2,2,105 Sq. M.,"Al Khuwair, Muscat",Apartment,https://www.bayut.om/en/property/details-130195149.html,2
4 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,OMR800,4,5,700 Sq. M.,N/A,Villa,https://www.bayut.om/en/property/details-130250150.html,2
"6 Bedrooms Villa For Rent in Madinat As Sultan Qaboos, Muscat","OMR1,300",6,8,488 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa,https://www.bayut.om/en/property/details-129938899.html,2
"5 Bedroom Villa For Rent in Qurum, Muscat",OMR800,5,5,399 Sq. M.,"Qurum, Muscat",Villa,https://www.bayut.om/en/property/details-129667987.html,2
"5 Bedrooms Villa For Rent Qurum, Muscat","OMR1,000",5,6,450 Sq. M.,"Qurum, Muscat",Villa,https://www.bayut.om/en/property/details-129421978.html,2
"4 Bedrooms Villa For Rent Qurum, Muscat",OMR700,4,5,450 Sq. M.,"Qurum, Muscat",Villa,https://www.bayut.om/en/property/details-129421913.html,2
"3 Bedroom Villa For Rent in Qurum, Muscat","OMR1,800",3,5,350 Sq. M.,"Qurum, Muscat",Villa,https://www.bayut.om/en/property/details-128902142.html,2
4 Bedrooms Villa For Rent Qurum Muscat,"OMR2,600",4,5,648 Sq. M.,"Qurum, Muscat",Villa,https://www.bayut.om/en/property/details-128637506.html,2
"4 Bedrooms Villa For Rent Qurum, Muscat","OMR1,800",4,4,300 Sq. M.,"Qurum, Muscat",Villa,https://www.bayut.om/en/property/details-129701089.html,2
"6 Bedrooms Villa For Rent Azaiba, Muscat","OMR1,000",6,6,600 Sq. M.,"Azaiba, Muscat",Villa,https://www.bayut.om/en/property/details-129694943.html,2
"5 Bedrooms Villa For Rent Al Mawaleh, Muscat",OMR700,5,5,459 Sq. M.,"Al Mawaleh, Muscat",Villa,https://www.bayut.om/en/property/details-129516395.html,2
"12 Bedroom Villa For Rent in Al Mawaleh, Muscat","OMR3,500",12,12,711 Sq. M.,"Al Mawaleh, Muscat",Villa,https://www.bayut.om/en/property/details-129233251.html,2
"6 Bed Villa For Rent Bosher, Muscat",OMR950,6,6,650 Sq. M.,"Bosher, Muscat",Villa,https://www.bayut.om/en/property/details-129931937.html,2
"4 Bedrooms Apartment For Rent Al Mawaleh, Muscat",OMR450,4,4,359 Sq. M.,"Al Mawaleh, Muscat",Apartment,https://www.bayut.om/en/property/details-129863548.html,2
"2 Bedroom Apartment For Rent in Ruwi, Muscat",OMR180,2,2,166 Sq. M.,"Ruwi, Muscat",Apartment,https://www.bayut.om/en/property/details-130069893.html,2
"6-Bedroom Villa For Rent in Qurum, Muscat","OMR1,000",6,4,300 Sq. M.,"Qurum, Muscat",Villa,https://www.bayut.om/en/property/details-129983052.html,2
5 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,"OMR1,400",5,7,300 Sq. M.,N/A,Villa,https://www.bayut.om/en/property/details-129637320.html,2
2 Bedrooms Apartment For Rent Muscat (The Wave (Almouj)),"OMR1,150",2,3,109 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130077493.html,2
"1 Bedroom Apartment For Rent Bosher, Muscat",OMR395,1,2,60 Sq. M.,"Bosher, Muscat",Apartment,https://www.bayut.om/en/property/details-130077520.html,2
"2 Bedroom Apartment For Rent in Ruwi, Muscat",OMR250,2,2,109 Sq. M.,"Ruwi, Muscat",Apartment,https://www.bayut.om/en/property/details-130077535.html,2
"6 Bedrooms Villa For Rent in Qurum, Muscat","OMR1,500",6,7,485 Sq. M.,"Qurum, Muscat",Villa,https://www.bayut.om/en/property/details-129524509.html,3
"6 Bedrooms Villa For Rent in Madinat As Sultan Qaboos, Muscat","OMR1,500",6,5,465 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa,https://www.bayut.om/en/property/details-129866068.html,3
"2 Bedroom Apartment For Rent Ruwi, Muscat",OMR200,2,2,110 Sq. M.,"Ruwi, Muscat",Apartment,https://www.bayut.om/en/property/details-130175300.html,3
"2 Bedroom Apartment For Rent Muscat Hills, Muscat",OMR500,2,2,106 Sq. M.,"Muscat Hills, Muscat",Apartment,https://www.bayut.om/en/property/details-130174884.html,3
"4 Bedrooms Villa For Rent Al Hail, Muscat",OMR630,4,4,250 Sq. M.,"Al Hail, Muscat",Villa,https://www.bayut.om/en/property/details-129943575.html,3
"1 Bedroom Apartment For Rent Al Khuwair, Muscat",OMR225,1,2,59 Sq. M.,"Al Khuwair, Muscat",Apartment,https://www.bayut.om/en/property/details-129609720.html,3
"2 Bedrooms Apartment For Rent The Wave (Almouj), Muscat","OMR1,250",2,2,109 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130068872.html,3
