property_id,title,price,location,bedrooms,bathrooms,area,property_type,furnished,description,amenities,agent_name,phone,parking,floor,building_age,url
adv9054bhk-villa-for-rent-in-madinat-illam-in-a-complex-ID130363172.html,ADV905*4BHK Villa for rent in Madinat Illam in a complex,OMR 750,ADV905*4BHK Villa for rent in Madinat Illam in a complex - Villas for Rent - 130363172,4,4,300,,No,Elegant 4 BHK Villa for rent @ Qurum amazing  house in Madinat sultan near Pizza hut 3+1 BHK Spacious Villa for Rent in Madina Qaboos -PPV285,,,,Pets Allowed,,,https://www.dubizzle.com.om/en/ad/adv9054bhk-villa-for-rent-in-madinat-illam-in-a-complex-ID130363172.html
adc803145sqm-offices-for-rent-in-ghubra-north-ID129424781.html,ADC803**145sqm  Offices for rent in Ghubra north,OMR 725,ADC803**145sqm  Offices for rent in Ghubra north - Commercial for Rent - 129424781,,,145,,No,"ADC802** 140 SQM Offices for rent in Ghubra north , 18 november street azaiba apartment - commercial 3 BR Compact Villa in Al Khuwair",,,(View phone number),Security,,,https://www.dubizzle.com.om/en/ad/adc803145sqm-offices-for-rent-in-ghubra-north-ID129424781.html
branded-residence-spacious-apartment-with-golf-course-view-ID130115851.html,"Branded Residence, spacious apartment with Golf Course View","OMR 2,500","Branded Residence, spacious apartment with Golf Course View - Apartments for Rent - 130115851",3,5,264,,Yes,"Exquisite 4-bedroom duplex with direct beach access Stunning furnished 4-Bedroom Apartment with Panoramic Marina view Marsa 2, Al Mouj Muscat Luxury 3- Bedroom Apartment",,,,Maids Room,,,https://www.dubizzle.com.om/en/ad/branded-residence-spacious-apartment-with-golf-course-view-ID130115851.html
madinat-sultan-qaboos-beautiful-1-br-apartment-ID130092375.html,MADINAT SULTAN QABOOS | BEAUTIFUL 1 BR APARTMENT,OMR 500,MADINAT SULTAN QABOOS | BEAUTIFUL 1 BR APARTMENT - Apartments for Rent - 130092375,1,2,85,,No,"2 BR Furnished Apartment in MGM, Ghubra 3 BR Elegant Apartment – Ruwi (1 Month Free) 2BHK Apartment FOR RENT in Al Qurum Park View Bldg. PPA55",,,(View phone number),Maids Room,,,https://www.dubizzle.com.om/en/ad/madinat-sultan-qaboos-beautiful-1-br-apartment-ID130092375.html
madinat-qaboos-modern-3-br-apartment-ID130263167.html,MADINAT QABOOS | MODERN 3 BR APARTMENT,OMR 800,MADINAT QABOOS | MODERN 3 BR APARTMENT - Apartments for Rent - 130263167,3,2,125,,No,"2 BR Furnished Apartment in MGM, Ghubra 2 BR + 1 Maid’s Room Duplex Apartment in Madinat Sultan Qaboos 2 BR + Maid’s Room Fully Furnished Apartment in Bosher",,,(View phone number),Security,,,https://www.dubizzle.com.om/en/ad/madinat-qaboos-modern-3-br-apartment-ID130263167.html
%D9%85%D8%AD%D9%84%D8%A7%D8%AA-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D9%81%D9%8A-%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%B1%D8%A7%D8%AA-ID129884717.html,محلات للايجار في العامرات,OMR 280,محلات للايجار في العامرات - Commercial for Rent - 129884717,,,48,,,2 Shops In Heart Of Ruwi Market محلين في قلب سوق روي محلات تجارية ابحث عن محل للإيجار في سوق مطرح الشعبي,,,(View phone number),,,,https://www.dubizzle.com.om/en/ad/%D9%85%D8%AD%D9%84%D8%A7%D8%AA-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D9%81%D9%8A-%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%B1%D8%A7%D8%AA-ID129884717.html
sr-hk-595-fully-furnished-townhouse-for-rent-in-almouj-ID130484916.html,SR-HK-595 Fully furnished Townhouse for rent in Almouj .,OMR 800,SR-HK-595 Fully furnished Townhouse for rent in Almouj . - Villas for Rent - 130484916,2,3,200,,(View phone number),3 BR + Maid’s Room Furnished Commercial Villa in Al Hail - w/ Pool open plan house modern design  near Muzun and Wave For Rent: Spacious Town Houses located close to the Marina,,,(View phone number),,,,https://www.dubizzle.com.om/en/ad/sr-hk-595-fully-furnished-townhouse-for-rent-in-almouj-ID130484916.html
2bhk-flat-in-almumtaz-free-wifi-b3434-ID130486159.html,2bhk flat in almumtaz free wifi (B3434),OMR 220,2bhk flat in almumtaz free wifi (B3434) - Apartments for Rent - 130486159,2,2,100,,No,2 BR Nice Apartment for Rent – CBD Near Sheraton 1 BR Comfortable Apartment for Rent – Ruwi (Near OC Centre) Like new 2 BHK Apartment for rent on Ruwi Road Front,,,,,,,https://www.dubizzle.com.om/en/ad/2bhk-flat-in-almumtaz-free-wifi-b3434-ID130486159.html
2bhk-in-darsait-free-wifi-b1577-ID130360086.html,2bhk in darsait free wifi (B1577),OMR 160,2bhk in darsait free wifi (B1577) - Apartments for Rent - 130360086,2,2,95,,No,2 bhk flat for rent near ISD School 1bhk in darasit behind ism free wifi (B2327) 1bhk in darasit free WiFi (B3222),,,,,,,https://www.dubizzle.com.om/en/ad/2bhk-in-darsait-free-wifi-b1577-ID130360086.html
shop-for-rent-in-seeb-souq-ID130133842.html,shop for rent in seeb souq,OMR 100,shop for rent in seeb souq - Commercial for Rent - 130133842,,,25,,No,Shop for rent in seeb sooq (B291) 30 sqm Shop in mabila (B11356) store for rent,,,,,,,https://www.dubizzle.com.om/en/ad/shop-for-rent-in-seeb-souq-ID130133842.html
